date,year,Sightings,Sick,Injured,Dead,Conjunctivitis,Cystitis,Wasted,VehicleHit,Fall
201701,2017,141,51,9,18,24,38,45,13,1
201702,2017,41,43,9,4,13,25,37,8,2
201703,2017,46,40,14,6,16,25,36,11,2
201704,2017,76,40,14,6,19,16,35,8,2
201705,2017,140,44,13,8,17,26,35,12,0
201706,2017,64,35,13,19,11,15,27,29,0
201707,2017,64,58,38,24,26,32,44,40,7
201708,2017,204,77,52,27,40,28,57,50,1
201709,2017,360,81,55,34,38,39,64,51,4
201710,2017,99,61,30,16,24,26,45,31,1
201711,2017,83,47,23,15,23,22,35,27,2
201712,2017,50,42,9,10,18,18,31,16,2
201801,2018,35,46,12,9,18,16,38,14,3
201802,2018,15,38,9,7,12,17,33,8,1
201803,2018,19,31,2,5,13,18,29,3,2
201804,2018,41,39,10,6,18,20,37,6,3
201805,2018,71,56,14,5,24,31,45,14,1
201806,2018,67,38,20,16,15,24,32,21,2
201807,2018,29,45,25,26,24,30,40,32,5
201808,2018,41,59,27,37,18,34,47,33,3
201809,2018,48,59,56,34,21,40,48,59,3
201810,2018,46,63,35,20,31,29,58,35,6
201811,2018,78,61,32,10,28,32,49,20,4
201812,2018,30,61,20,11,18,31,52,18,3
201901,2019,122,81,17,17,37,49,63,21,0
201902,2019,19,79,18,11,31,59,68,15,3
201903,2019,34,76,19,5,33,40,70,16,2
201904,2019,39,38,12,8,14,24,36,15,0
201905,2019,43,52,14,9,20,34,42,17,1
201906,2019,27,45,15,13,18,19,33,20,4
201907,2019,44,68,24,24,28,35,55,29,0
201908,2019,59,90,45,43,31,63,78,57,1
201909,2019,59,135,72,29,60,70,126,57,5
201910,2019,54,95,42,17,36,54,86,41,5
201911,2019,97,134,52,17,50,73,126,33,5
201912,2019,59,114,26,13,40,69,105,16,0
202001,2020,58,91,25,10,24,61,81,21,1
202002,2020,22,35,10,6,14,28,36,9,3
202003,2020,27,51,9,7,19,23,48,11,1
202004,2020,18,45,10,2,21,24,36,7,2
202005,2020,17,68,23,7,18,37,58,18,0
202006,2020,19,43,26,13,14,28,36,22,2
202007,2020,29,61,41,16,23,35,46,40,0
202008,2020,156,80,48,27,34,38,62,49,5
202009,2020,106,97,55,21,43,37,58,39,6
202010,2020,56,97,51,25,38,60,71,50,3
202011,2020,46,106,38,14,35,61,87,30,2
202012,2020,6,75,17,8,22,46,63,7,3
202101,2021,2,64,22,5,18,42,48,19,2
202102,2021,3,53,12,2,21,33,48,8,0
202103,2021,20,56,11,4,25,19,45,8,1
202104,2021,6,31,9,6,11,14,24,6,2
202105,2021,11,38,17,7,14,22,27,13,4
202106,2021,4,54,21,13,21,34,46,26,2
202107,2021,11,82,27,12,27,32,66,22,4
202108,2021,22,90,57,20,35,34,62,38,7
202109,2021,24,94,57,25,26,41,73,55,4
202110,2021,1,88,38,14,37,44,64,31,2
202111,2021,3,72,35,10,24,34,63,34,3
