state,state_name,date,homeless_service
new south wales,New South Wales,201707 ,22017
victoria,Victoria,201707 ,30511
queensland,Queensland,201707 ,10650
western australia,Western Australia,201707 ,5932
south australia,South Australia,201707 ,6308
tasmania,Tasmania,201707 ,2270
australian capital territory,Australian Capital Territory,201707 ,1606
northern territory,Northern Territory,201707 ,2895
new south wales,New South Wales,201708 ,22120
victoria,Victoria,201708 ,31526
queensland,Queensland,201708 ,11005
western australia,Western Australia,201708 ,5988
south australia,South Australia,201708 ,6365
tasmania,Tasmania,201708 ,2296
australian capital territory,Australian Capital Territory,201708 ,1653
northern territory,Northern Territory,201708 ,2957
new south wales,New South Wales,201709 ,22036
victoria,Victoria,201709 ,30538
queensland,Queensland,201709 ,10916
western australia,Western Australia,201709 ,5736
south australia,South Australia,201709 ,6312
tasmania,Tasmania,201709 ,2198
australian capital territory,Australian Capital Territory,201709 ,1568
northern territory,Northern Territory,201709 ,2919
new south wales,New South Wales,201710 ,22112
victoria,Victoria,201710 ,31563
queensland,Queensland,201710 ,10824
western australia,Western Australia,201710 ,6102
south australia,South Australia,201710 ,6281
tasmania,Tasmania,201710 ,2219
australian capital territory,Australian Capital Territory,201710 ,1616
northern territory,Northern Territory,201710 ,3137
new south wales,New South Wales,201711 ,22708
victoria,Victoria,201711 ,31732
queensland,Queensland,201711 ,11048
western australia,Western Australia,201711 ,6043
south australia,South Australia,201711 ,6400
tasmania,Tasmania,201711 ,2204
australian capital territory,Australian Capital Territory,201711 ,1637
northern territory,Northern Territory,201711 ,3215
new south wales,New South Wales,201712 ,21185
victoria,Victoria,201712 ,30768
queensland,Queensland,201712 ,10374
western australia,Western Australia,201712 ,5775
south australia,South Australia,201712 ,5953
tasmania,Tasmania,201712 ,2162
australian capital territory,Australian Capital Territory,201712 ,1586
northern territory,Northern Territory,201712 ,3142
new south wales,New South Wales,201801 ,22150
victoria,Victoria,201801 ,32008
queensland,Queensland,201801 ,11386
western australia,Western Australia,201801 ,6074
south australia,South Australia,201801 ,6291
tasmania,Tasmania,201801 ,2278
australian capital territory,Australian Capital Territory,201801 ,1680
northern territory,Northern Territory,201801 ,3196
new south wales,New South Wales,201802 ,22770
victoria,Victoria,201802 ,32126
queensland,Queensland,201802 ,11509
western australia,Western Australia,201802 ,6087
south australia,South Australia,201802 ,6442
tasmania,Tasmania,201802 ,2274
australian capital territory,Australian Capital Territory,201802 ,1663
northern territory,Northern Territory,201802 ,2965
new south wales,New South Wales,201803 ,23295
victoria,Victoria,201803 ,32966
queensland,Queensland,201803 ,11855
western australia,Western Australia,201803 ,6164
south australia,South Australia,201803 ,6595
tasmania,Tasmania,201803 ,2219
australian capital territory,Australian Capital Territory,201803 ,1654
northern territory,Northern Territory,201803 ,3003
new south wales,New South Wales,201804 ,22695
victoria,Victoria,201804 ,32834
queensland,Queensland,201804 ,11900
western australia,Western Australia,201804 ,5818
south australia,South Australia,201804 ,6335
tasmania,Tasmania,201804 ,2181
australian capital territory,Australian Capital Territory,201804 ,1635
northern territory,Northern Territory,201804 ,3029
new south wales,New South Wales,201805 ,23742
victoria,Victoria,201805 ,34338
queensland,Queensland,201805 ,12162
western australia,Western Australia,201805 ,5927
south australia,South Australia,201805 ,6616
tasmania,Tasmania,201805 ,2222
australian capital territory,Australian Capital Territory,201805 ,1659
northern territory,Northern Territory,201805 ,3046
new south wales,New South Wales,201806 ,23408
victoria,Victoria,201806 ,32805
queensland,Queensland,201806 ,11881
western australia,Western Australia,201806 ,5902
south australia,South Australia,201806 ,6334
tasmania,Tasmania,201806 ,2173
australian capital territory,Australian Capital Territory,201806 ,1590
northern territory,Northern Territory,201806 ,3063
new south wales,New South Wales,201807 ,23347
victoria,Victoria,201807 ,33004
queensland,Queensland,201807 ,11687
western australia,Western Australia,201807 ,6052
south australia,South Australia,201807 ,6288
tasmania,Tasmania,201807 ,2171
australian capital territory,Australian Capital Territory,201807 ,1597
northern territory,Northern Territory,201807 ,2989
new south wales,New South Wales,201808 ,23854
victoria,Victoria,201808 ,32603
queensland,Queensland,201808 ,12068
western australia,Western Australia,201808 ,6110
south australia,South Australia,201808 ,6242
tasmania,Tasmania,201808 ,2247
australian capital territory,Australian Capital Territory,201808 ,1642
northern territory,Northern Territory,201808 ,3199
new south wales,New South Wales,201809 ,23133
victoria,Victoria,201809 ,31082
queensland,Queensland,201809 ,12007
western australia,Western Australia,201809 ,5892
south australia,South Australia,201809 ,6314
tasmania,Tasmania,201809 ,2289
australian capital territory,Australian Capital Territory,201809 ,1611
northern territory,Northern Territory,201809 ,3124
new south wales,New South Wales,201810 ,23887
victoria,Victoria,201810 ,32739
queensland,Queensland,201810 ,12610
western australia,Western Australia,201810 ,6397
south australia,South Australia,201810 ,6543
tasmania,Tasmania,201810 ,2339
australian capital territory,Australian Capital Territory,201810 ,1587
northern territory,Northern Territory,201810 ,3223
new south wales,New South Wales,201811 ,23850
victoria,Victoria,201811 ,32833
queensland,Queensland,201811 ,12437
western australia,Western Australia,201811 ,6212
south australia,South Australia,201811 ,6618
tasmania,Tasmania,201811 ,2376
australian capital territory,Australian Capital Territory,201811 ,1629
northern territory,Northern Territory,201811 ,3259
new south wales,New South Wales,201812 ,22355
victoria,Victoria,201812 ,31626
queensland,Queensland,201812 ,11712
western australia,Western Australia,201812 ,6202
south australia,South Australia,201812 ,6020
tasmania,Tasmania,201812 ,2218
australian capital territory,Australian Capital Territory,201812 ,1565
northern territory,Northern Territory,201812 ,3060
new south wales,New South Wales,201901 ,23240
victoria,Victoria,201901 ,32396
queensland,Queensland,201901 ,12808
western australia,Western Australia,201901 ,6697
south australia,South Australia,201901 ,6451
tasmania,Tasmania,201901 ,2413
australian capital territory,Australian Capital Territory,201901 ,1657
