from,to
koala,koalas
koala,nsw
koala,bushfires
koala,habitat
koala,bushfire
koala,save
koala,national
koala,island
koala,coast
koala,government
koala,rescued
koala,kangaroo
koala,policy
koala,wild
koala,protection
koala,gold
koala,released
koala,injured
koala,population
koalas,nsw
koalas,bushfires
koalas,habitat
koalas,bushfire
koalas,save
koalas,national
koalas,island
koalas,coast
koalas,government
koalas,rescued
koalas,kangaroo
koalas,policy
koalas,wild
koalas,protection
koalas,gold
koalas,released
koalas,injured
koalas,population
